****** PSID DATA CENTER ************************* 
****** Variable labels for JobID = 359135 ******* 

Variable    Labels
ER52368    IMP VALUE ANNUITY/IRA (W22) 11          
ER52390    IMP VALUE HOME EQUITY 11                
ER52392    IMP WEALTH W/O EQUITY (WEALTH1) 11      
ER52394    IMP WEALTH W/ EQUITY (WEALTH2) 11       
ER53001    RELEASE NUMBER                          
ER53002    2013 FAMILY INTERVIEW (ID) NUMBER       
ER54610    W1 WTR OTR REAL ESTATE                  
ER54633    W15 WTR OWN NON-IRA STOCK               
ER54660    W27 WTR CK/SAVINGS/CD, ETC              
ER54661    W28 AMT ALL ACCOUNTS                    
ER54692    W38B WTR HAS STUDENT LOANS              
ER54697    W39B1 AMOUNT STUDENT LOANS              
ER54734    W54 WTR SOLD HOME                       
ER58171    IMP VALUE STOCKS (W16) 2013             
ER58179    IMP WTR ANNUITY/IRA (W21) 2013          
ER58181    IMP VALUE ANNUITY/IRA (W22) 2013        
ER58207    IMP VALUE HOME EQUITY 2013              
ER58209    IMP WEALTH W/O EQUITY (WEALTH1) 2013    
ER58211    IMP WEALTH W/ EQUITY (WEALTH2) 2013     
ER60001    RELEASE NUMBER                          
ER60002    2015 FAMILY INTERVIEW (ID) NUMBER       
ER61721    W1 WTR OTR REAL ESTATE                  
ER61744    W15 WTR OWN NON-IRA STOCK               
ER61771    W27 WTR CK/SAVINGS/CD, ETC              
ER61772    W28 AMT ALL ACCOUNTS                    
ER61803    W38B WTR HAS STUDENT LOANS              
ER61808    W39B1 AMOUNT STUDENT LOANS              
ER61845    W54 WTR SOLD HOME                       
ER65368    IMP VALUE STOCKS (W16) 2015             
ER65376    IMP WTR ANNUITY/IRA (W21) 2015          
ER65378    IMP VALUE ANNUITY/IRA (W22) 2015        
ER65404    IMP VALUE HOME EQUITY 2015              
ER65406    IMP WEALTH W/O EQUITY (WEALTH1) 2015    
ER65408    IMP WEALTH W/ EQUITY (WEALTH2) 2015     
ER66001    RELEASE NUMBER                          
ER66002    2017 FAMILY INTERVIEW (ID) NUMBER       
ER67774    W1 WTR OTR REAL ESTATE                  
ER67797    W15 WTR OWN NON-IRA STOCK               
ER67824    W27 WTR CK/SAVINGS/CD, ETC              
ER67825    W27A WTR CHECKING/SAVING ACCT           
ER67826    W28 AMT ALL ACCOUNTS                    
ER67857    W38B WTR HAS STUDENT LOANS              
ER67862    W39B1 AMOUNT STUDENT LOANS              
ER67899    W54 WTR SOLD HOME                       
ER71445    IMP VALUE STOCKS (W16) 2017             
ER71453    IMP WTR ANNUITY/IRA (W21) 2017          
ER71455    IMP VALUE ANNUITY/IRA (W22) 2017        
ER71481    IMP VALUE HOME EQUITY 2017              
ER71483    IMP WEALTH W/O EQUITY (WEALTH1) 2017    
ER71485    IMP WEALTH W/ EQUITY (WEALTH2) 2017     
ER72001    RELEASE NUMBER                          
ER72002    2019 FAMILY INTERVIEW (ID) NUMBER       
ER73797    W1 WTR OTR REAL ESTATE                  
ER73820    W15 WTR OWN NON-IRA STOCK               
ER73847    W27A WTR CHECKING/SAVING ACCT           
ER73848    W28A AMT CK/SAVING ACCT                 
ER73853    W27 WTR CD/BONDS/TB                     
ER73854    W28 AMT CD/BONDS/TB                     
ER73885    W38B WTR HAS STUDENT LOANS              
ER73890    W39B1 AMOUNT STUDENT LOANS              
ER73927    W54 WTR SOLD HOME                       
ER77471    IMP VALUE STOCKS (W16) 2019             
ER77479    IMP WTR ANNUITY/IRA (W21) 2019          
ER77481    IMP VALUE ANNUITY/IRA (W22) 2019        
ER77507    IMP VALUE HOME EQUITY 2019              
ER77509    IMP WEALTH W/O EQUITY (WEALTH1) 2019    
ER77511    IMP WEALTH W/ EQUITY (WEALTH2) 2019     
ER78001    RELEASE NUMBER                          
ER78002    2021 FAMILY INTERVIEW (ID) NUMBER       
ER79919    W1 WTR OTR REAL ESTATE                  
ER79942    W15 WTR OWN NON-IRA STOCK               
ER79969    W27A WTR CHECKING/SAVING ACCT           
ER79970    W28A AMT CK/SAVING ACCT                 
ER79975    W27 WTR CD/BONDS/TB                     
ER79976    W28 AMT CD/BONDS/TB                     
ER80007    W38B WTR HAS STUDENT LOANS              
ER80012    W39B1 AMOUNT STUDENT LOANS              
ER80049    W54 WTR SOLD HOME                       
ER81798    IMP VALUE STOCKS (W16) 2021             
ER81806    IMP WTR ANNUITY/IRA (W21) 2021          
ER81808    IMP VALUE ANNUITY/IRA (W22) 2021        
ER81834    IMP VALUE HOME EQUITY 2021              
ER81836    IMP WEALTH W/O EQUITY (WEALTH1) 2021    
ER81838    IMP WEALTH W/ EQUITY (WEALTH2) 2021     
ER82001    RELEASE NUMBER                          
ER82002    2023 FAMILY INTERVIEW (ID) NUMBER       
ER83888    W1 WTR OTR REAL ESTATE                  
ER83911    W15 WTR OWN NON-IRA STOCK               
ER83939    W27A WTR CHECKING/SAVING ACCT           
ER83940    W28A AMT CK/SAVING ACCT                 
ER83945    W27 WTR CD/BONDS/TB                     
ER83946    W28 AMT CD/BONDS/TB                     
ER83977    W38B WTR HAS STUDENT LOANS              
ER83982    W39B1 AMOUNT STUDENT LOANS              
ER84019    W54 WTR SOLD HOME                       
ER85652    IMP VALUE STOCKS (W16) 2023             
ER85660    IMP WTR ANNUITY/IRA (W21) 2023          
ER85662    IMP VALUE ANNUITY/IRA (W22) 2023        
ER85688    IMP VALUE HOME EQUITY 2023              
ER85690    IMP WEALTH W/O EQUITY (WEALTH1) 2023    
ER85692    IMP WEALTH W/ EQUITY (WEALTH2) 2023     

*** End of labels ******************************* 
