YY1,WGT,INCOME,WAGEINC,NORMINC,IRAKH,THRIFT,RETQLIQ,EDN_INST,DEBT,NETWORTH,ASSET,FIN,CCBAL,DCPLANCJ,AGE,AGECL,HHSEX,MARRIED,KIDS,EDUC,EDCL,RACECL4,LF,HRETQLIQ,ANYPEN,DBPLANCJ,HEDN_INST,NWCAT,INCCAT,has_student_debt,has_ira,has_retirement,age_group,educ_group,race_group,income_group,nw_group,is_married,is_female,in_labor_force,debt_to_income
20,2609.34111246,86472.945892,86472.945892,86472.945892,0.0,0.0,0.0,18000.0,145800.0,84120.0,229920.0,2520.0,8800.0,0.0,46,3,2,2,0,13,4,2,1,0,1,1,1,2,3,1,0,0,45-54,College degree+,Black/African-American,40-59.9%,25-49.9%,0,1,1,0.20815758980249174
21,449.57943589999996,1910187.37476,0.0,1910187.37476,1394000.0,0.0,1394000.0,0.0,0.0,42207160.0,42207160.0,25339600.0,0.0,0.0,75,6,1,1,0,12,4,4,1,1,0,0,0,5,6,0,1,1,75+,College degree+,Other,Top 10%,Top 10%,1,0,1,0.0
22,3685.6459734600003,307411.32264800003,291846.19238,307411.32264800003,860000.0,1422000.0,2282000.0,0.0,0.0,3419200.0,3419200.0,2861200.0,0.0,1.0,52,3,1,1,2,12,4,1,1,1,1,0,0,5,6,0,1,1,45-54,College degree+,White non-Hispanic,Top 10%,Top 10%,1,0,1,0.0
23,19160.9922946,57288.32665299999,0.0,57288.32665299999,0.0,0.0,0.0,0.0,33610.0,79810.0,113420.0,1000.0,0.0,0.0,62,4,1,1,0,10,3,1,0,0,1,1,0,2,3,0,0,0,55-64,Some college,White non-Hispanic,40-59.9%,25-49.9%,1,0,0,0.0
24,5731.059469559999,324273.54709,324273.54709,432364.72945999994,0.0,1143000.0,1143000.0,0.0,155598.0,2955602.0,3111200.0,2153600.0,5598.0,1.0,63,4,1,1,0,14,4,1,1,1,1,0,0,5,6,0,0,1,55-64,College degree+,White non-Hispanic,Top 10%,Top 10%,1,0,1,0.0
25,48.014303117,3791838.67734,0.0,3791838.67734,3000000.0,3298000.0,6298000.0,0.0,780000.0,87783800.0,88563800.0,12868000.0,0.0,1.0,57,4,1,1,0,12,4,1,1,1,1,0,0,5,6,0,1,1,55-64,College degree+,White non-Hispanic,Top 10%,Top 10%,1,0,1,0.0
26,4021.00930214,42155.561122,42155.561122,42155.561122,0.0,2000.0,2000.0,0.0,9800.0,4088.0,13888.0,3288.0,800.0,1.0,41,2,2,2,3,8,2,4,1,1,1,1,0,1,2,0,0,1,35-44,HS diploma/GED,Other,20-39.9%,Bottom 25%,0,1,1,0.0
27,13426.9467434,12970.941884,0.0,12970.941884,0.0,0.0,0.0,0.0,0.0,200.0,200.0,200.0,0.0,0.0,19,1,1,2,0,9,3,4,0,0,0,0,0,1,1,0,0,0,18-34,Some college,Other,Bottom 20%,Bottom 25%,0,0,0,0.0
28,1951.6585487199998,56855.9619238,37399.549098200005,56855.9619238,0.0,0.0,0.0,1000.0,1000.0,-536.0,464.0,464.0,0.0,0.0,51,3,1,1,1,8,2,2,1,0,0,0,1,1,3,1,0,0,45-54,HS diploma/GED,Black/African-American,40-59.9%,Bottom 25%,1,0,1,0.01758830501083121
29,6541.3170041799995,43236.472946,43236.472946,43236.472946,0.0,0.0,0.0,68000.0,128800.0,431300.0,560100.0,3700.0,6000.0,0.0,62,4,2,2,0,11,3,2,1,0,0,0,1,3,2,1,0,0,55-64,Some college,Black/African-American,20-39.9%,50-74.9%,0,1,1,1.572746234063271
30,7609.19360938,95552.6052106,28.103707414600002,95552.6052106,680000.0,0.0,680000.0,0.0,0.0,2663640.0,2663640.0,1387020.0,0.0,0.0,68,5,1,1,0,12,4,1,0,1,1,1,0,5,4,0,1,1,65-74,College degree+,White non-Hispanic,60-79.9%,Top 10%,1,0,0,0.0
31,11537.9582168,47343.937875799995,41074.649299,47343.937875799995,0.0,0.0,0.0,0.0,0.0,9524.0,9524.0,964.0,0.0,0.0,23,1,1,2,0,9,3,2,1,0,0,0,0,1,2,0,0,0,18-34,Some college,Black/African-American,20-39.9%,Bottom 25%,0,0,1,0.0
32,8267.14565,324273.54709,324273.54709,270227.95591,0.0,30000.0,30000.0,0.0,441500.0,364900.0,806400.0,36000.0,46500.0,1.0,52,3,1,1,0,8,2,1,1,1,1,0,0,3,6,0,0,1,45-54,HS diploma/GED,White non-Hispanic,Top 10%,50-74.9%,1,0,1,0.0
33,11837.7802124,65070.8917836,64854.709419000006,65070.8917836,0.0,27520.0,27520.0,0.0,40220.0,94480.0,134700.0,28020.0,7720.0,1.0,42,2,2,2,1,11,3,4,1,1,1,0,0,2,3,0,0,1,35-44,Some college,Other,40-59.9%,25-49.9%,0,1,1,0.0
34,3567.29056098,829491.7334680001,668652.05411,829491.7334680001,775600.0,201600.0,977200.0,0.0,583600.0,5132700.0,5716300.0,2134100.0,0.0,1.0,42,2,1,1,2,12,4,4,1,1,1,0,0,5,6,0,1,1,35-44,College degree+,Other,Top 10%,Top 10%,1,0,1,0.0
35,2322.25916172,54045.59118199999,54045.59118199999,54045.59118199999,0.0,0.0,0.0,0.0,260000.0,445840.0,705840.0,1000.0,0.0,0.0,50,3,1,2,0,12,4,3,1,0,0,0,0,3,2,0,0,0,45-54,College degree+,Hispanic,20-39.9%,50-74.9%,0,0,1,0.0
36,3958.43534164,41074.6492984,41074.6492984,41074.6492984,0.0,0.0,0.0,0.0,0.0,23660.0,23660.0,8680.0,0.0,0.0,49,3,1,1,0,3,1,3,1,0,0,0,0,1,2,0,0,0,45-54,No HS diploma,Hispanic,20-39.9%,Bottom 25%,1,0,1,0.0
37,1706.61338784,53829.40881739999,41074.649299,53829.40881739999,0.0,0.0,0.0,0.0,0.0,15140.0,15140.0,800.0,0.0,0.0,55,4,1,1,0,6,1,4,1,0,1,0,0,1,2,0,0,0,55-64,No HS diploma,Other,20-39.9%,Bottom 25%,1,0,1,0.0
